Chainage, Elevation
330.2207234,-10.76000023
331.4715595,-10.73999977
332.7223955,-10.72999954
333.9732316,-10.72000027
335.2240677,-10.69999981
336.4749038,-10.69999981
337.7257398,-10.68999958
338.9765759,-10.67000008
340.227412,-10.65999985
341.4782481,-10.64000034
342.7290841,-10.61999989
343.9799202,-10.61999989
345.2307563,-10.60999966
346.4815924,-10.60000038
347.7324284,-10.57999992
348.9832645,-10.57999992
350.2341006,-10.56999969
351.4849367,-10.56000042
352.7357727,-10.56000042
353.9866088,-10.53999996
355.2374449,-10.52999973
356.4882809,-10.51000023
357.739117,-10.48999977
358.9899531,-10.51000023
360.2407892,-10.5
361.4916252,-10.48999977
362.7424613,-10.46000004
363.9932974,-10.47000027
365.2441335,-10.46000004
366.4949695,-10.46000004
367.7458056,-10.44999981
368.9966417,-10.43999958
370.2474778,-10.43000031
371.4983138,-10.40999985
372.7491499,-10.39999962
373.999986,-10.38000011
375.250822,-10.38000011
376.5016581,-10.38000011
377.7524942,-10.35999966
379.0033303,-10.36999989
380.2541663,-10.35999966
381.5050024,-10.35999966
382.7558385,-10.38000011
384.0066746,-10.35999966
385.2575106,-10.38000011
386.5083467,-10.35000038
387.7591828,-10.32999992
389.0100189,-10.31999969
390.2608549,-10.34000015
391.511691,-10.32999992
392.7625271,-10.30000019
394.0133632,-10.28999996
395.2641992,-10.27999973
396.5150353,-10.27999973
397.7658714,-10.26000023
399.0167074,-10.25
400.2675435,-10.25
401.5183796,-10.23999977
402.7692157,-10.25
404.0200517,-10.22999954
405.2708878,-10.22000027
406.5217239,-10.21000004
407.77256,-10.19999981
409.023396,-10.18000031
410.2742321,-10.18000031
411.5250682,-10.15999985
412.7759043,-10.14999962
414.0267403,-10.14000034
415.2775764,-10.13000011
416.5284125,-10.11999989
417.7792485,-10.11999989
419.0300846,-10.11999989
420.2809207,-10.10999966
421.5317568,-10.10999966
422.7825928,-10.09000015
424.0334289,-10.07999992
425.284265,-10.07999992
426.5351011,-10.06999969
427.7859371,-10.06000042
429.0367732,-10.06999969
430.2876093,-10.05000019
431.5384454,-10.03999996
432.7892814,-10.02999973
434.0401175,-10.01000023
435.2909536,-10.01000023
436.5417896,-10
437.7926257,-9.989999771
439.0434618,-9.989999771
440.2942979,-9.979999542
441.5451339,-9.979999542
442.79597,-9.970000267
444.0468061,-9.960000038
445.2976422,-9.949999809
446.5484782,-9.930000305
447.7993143,-9.920000076
449.0501504,-9.920000076
450.3009865,-9.899999619
451.5518225,-9.899999619
452.8026586,-9.899999619
454.0534947,-9.890000343
455.3043308,-9.899999619
456.5551668,-9.890000343
457.8060029,-9.880000114
459.056839,-9.880000114
460.307675,-9.869999886
461.5585111,-9.859999657
462.8093472,-9.850000381
464.0601833,-9.850000381
465.3110193,-9.850000381
466.5618554,-9.829999924
467.8126915,-9.829999924
469.0635276,-9.81000042
470.3143636,-9.81000042
471.5651997,-9.789999962
472.8160358,-9.779999733
474.0668719,-9.770000458
475.3177079,-9.770000458
476.568544,-9.75
477.8193801,-9.729999542
479.0702161,-9.729999542
480.3210522,-9.729999542
481.5718883,-9.710000038
482.8227244,-9.699999809
484.0735604,-9.68999958
485.3243965,-9.680000305
486.5752326,-9.670000076
487.8260687,-9.640000343
489.0769047,-9.630000114
490.3277408,-9.630000114
491.5785769,-9.619999886
492.829413,-9.619999886
494.080249,-9.600000381
495.3310851,-9.579999924
496.5819212,-9.590000153
497.8327573,-9.579999924
499.0835933,-9.579999924
500.3344294,-9.579999924
501.5852655,-9.56000042
502.8361015,-9.550000191
504.0869376,-9.529999733
505.3377737,-9.539999962
506.5886098,-9.520000458
507.8394458,-9.510000229
509.0902819,-9.510000229
510.341118,-9.510000229
511.5919541,-9.489999771
512.8427901,-9.489999771
514.0936262,-9.489999771
515.3444623,-9.479999542
516.5952984,-9.479999542
517.8461344,-9.460000038
519.0969705,-9.460000038
520.3478066,-9.460000038
